#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 5.5373E-03 2.8186E-03  -0.72   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE= 9.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  12  0.104969  3.5167  5.2769 -2.7973 21.0355 21.0846 17.2429 16.4702 15.3334 14.8676 13.5732 13.0587 12.8770 12.4204 11.2045 11.1557 10.6194
  13  0.125466  3.5186  5.2036 -2.6388 20.6250 20.6290 16.7976 16.0157 14.8742 14.4245 13.1478 12.6337 12.4528 11.9993 10.8054 10.7573 10.2252
  14  0.148735  3.5213  5.1387 -2.4895 20.2355 20.1876 16.3692 15.5773 14.4303 13.9957 12.7372 12.2238 12.0438 11.5946 10.4278 10.3804  9.8546
  15  0.171886  3.5255  5.0937 -2.3644 19.8989 19.7798 15.9834 15.1787 14.0238 13.6034 12.3654 11.8542 11.6746 11.2333 10.1057 10.0600  9.5449
  16  0.190980  3.5300  5.0649 -2.2721 19.6451 19.4580 15.6843 14.8688 13.7064 13.2974 12.0773 11.5684 11.3891 10.9555  9.8657  9.8215  9.3173
  17  0.206842  3.5334  5.0431 -2.2022 19.4530 19.2144 15.4582 14.6353 13.4675 13.0665 11.8597 11.3525 11.1734 10.7454  9.6839  9.6409  9.1450
  18  0.221809  3.5364  5.0247 -2.1415 19.2863 19.0031 15.2628 14.4340 13.2612 12.8667 11.6712 11.1657 10.9868 10.5636  9.5266  9.4844  8.9958
  19  0.234788  3.5390  5.0098 -2.0917 19.1493 18.8285 15.1023 14.2689 13.0921 12.7025 11.5164 11.0121 10.8334 10.4141  9.3976  9.3562  8.8736
  20  0.244843  3.5409  4.9980 -2.0541 19.0465 18.6982 14.9821 14.1455 12.9655 12.5795 11.4001 10.8969 10.7182 10.3018  9.3004  9.2596  8.7815
  21  0.252064  3.5422  4.9892 -2.0272 18.9739 18.6059 14.8968 14.0580 12.8755 12.4919 11.3173 10.8147 10.6361 10.2216  9.2310  9.1906  8.7157
  22  0.257422  3.5432  4.9824 -2.0074 18.9210 18.5391 14.8351 13.9947 12.8102 12.4282 11.2568 10.7546 10.5761 10.1630  9.1801  9.1400  8.6674
  23  0.261540  3.5440  4.9773 -1.9925 18.8810 18.4889 14.7888 13.9472 12.7613 12.3804 11.2113 10.7094 10.5308 10.1187  9.1417  9.1018  8.6309
  24  0.264769  3.5446  4.9733 -1.9807 18.8496 18.4494 14.7524 13.9102 12.7230 12.3429 11.1757 10.6740 10.4955 10.0842  9.1116  9.0719  8.6023
  25  0.267269  3.5450  4.9701 -1.9716 18.8247 18.4180 14.7239 13.8810 12.6929 12.3135 11.1476 10.6462 10.4678 10.0570  9.0881  9.0485  8.5800
  26  0.269396  3.5454  4.9674 -1.9638 18.8035 18.3913 14.6995 13.8560 12.6673 12.2885 11.1239 10.6225 10.4441 10.0339  9.0681  9.0286  8.5610
  27  0.271399  3.5458  4.9650 -1.9566 18.7838 18.3663 14.6770 13.8329 12.6436 12.2652 11.1018 10.6007 10.4222 10.0127  9.0497  9.0104  8.5436
  28  0.273620  3.5462  4.9631 -1.9495 18.7639 18.3406 14.6539 13.8094 12.6193 12.2415 11.0793 10.5784 10.4000  9.9910  9.0312  8.9920  8.5263
  29  0.276087  3.5467  4.9610 -1.9416 18.7418 18.3124 14.6286 13.7835 12.5927 12.2155 11.0547 10.5539 10.3756  9.9672  9.0108  8.9717  8.5070
