#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 9.8327E-04 5.0050E-04  -1.49   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=12.200 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  14  0.108501  3.5349  5.2810 -2.7147 20.7619 20.4912 16.9229 16.0923 14.9466 14.3522 12.9642 12.4258 12.2359 11.8385 10.9353 10.8953 10.4657
  15  0.121289  3.5437  5.2382 -2.5883 20.3639 19.8220 16.4243 15.5798 14.4302 13.8789 12.5427 12.0062 11.8163 11.4313 10.6120 10.5738 10.1620
  16  0.133638  3.5511  5.2008 -2.4791 20.0040 19.2423 15.9965 15.1463 14.0010 13.4817 12.1887 11.6552 11.4656 11.0892 10.3333 10.2966  9.8985
  17  0.145210  3.5569  5.1699 -2.3890 19.6955 18.7742 15.6507 14.7996 13.6622 13.1647 11.9051 11.3748 11.1857 10.8151 10.1036 10.0681  9.6800
  18  0.156512  3.5615  5.1437 -2.3118 19.4203 18.3829 15.3643 14.5149 13.3869 12.9041 11.6699 11.1428 10.9546 10.5882  9.9079  9.8731  9.4925
  19  0.168535  3.5656  5.1193 -2.2389 19.1564 18.0208 15.0982 14.2517 13.1344 12.6633 11.4516 10.9280 10.7408 10.3779  9.7230  9.6890  9.3148
  20  0.181480  3.5694  5.0961 -2.1686 18.8996 17.6789 14.8452 14.0024 12.8966 12.4353 11.2442 10.7244 10.5382 10.1786  9.5452  9.5118  9.1434
  21  0.195049  3.5727  5.0748 -2.1022 18.6550 17.3616 14.6084 13.7696 12.6758 12.2227 11.0504 10.5344 10.3493  9.9928  9.3773  9.3446  8.9812
  22  0.209589  3.5760  5.0548 -2.0381 18.4169 17.0596 14.3809 13.5462 12.4648 12.0189 10.8645 10.3525 10.1686  9.8150  9.2153  9.1830  8.8245
  23  0.225516  3.5791  5.0360 -1.9751 18.1826 16.7695 14.1588 13.3282 12.2598 11.8203 10.6830 10.1755  9.9928  9.6421  9.0563  9.0246  8.6705
  24  0.239423  3.5816  5.0214 -1.9247 17.9946 16.5439 13.9808 13.1532 12.0957 11.6611 10.5377 10.0340  9.8523  9.5042  8.9287  8.8974  8.5470
  25  0.249859  3.5833  5.0111 -1.8890 17.8613 16.3867 13.8549 13.0294 11.9798 11.5486 10.4350  9.9342  9.7532  9.4071  8.8385  8.8074  8.4596
  26  0.257209  3.5844  5.0046 -1.8653 17.7728 16.2832 13.7715 12.9473 11.9032 11.4741 10.3670  9.8682  9.6877  9.3428  8.7787  8.7478  8.4017
  27  0.262720  3.5852  5.0004 -1.8487 17.7105 16.2108 13.7128 12.8896 11.8493 11.4218 10.3192  9.8217  9.6417  9.2978  8.7366  8.7059  8.3609
