#        V          B-V
#
        5.64        1.24
        5.76        1.23
        5.54        1.27
        6.64         0.4
        7.81        0.66
        7.97        0.59
        6.65         0.5
         7.1        0.47
        7.99        0.52
        7.42        0.49
        7.72        0.61
        7.65        0.53
        6.28        0.51
        7.03        0.47
        6.27        0.37
        7.39        0.51
        6.69         0.4
        7.37        0.45
        8.38        0.66
        8.33        0.65
        7.59        0.53
        7.26        0.48
        8.18        0.71
        7.72        0.56
        9.86        0.93
        7.64        0.55
         6.8        0.41
        7.98        0.62
        6.22        0.39
        7.27        0.49
        6.29         0.3
        8.46        0.74
        7.72        0.52
        5.85         1.2
         5.4        0.43
        6.78        0.42
        7.48        0.51
         7.4        0.51
        8.02        0.59
        9.54        0.86
        7.78        0.56
        9.53        0.83
         7.4         0.5
        8.75         0.7
       10.89        1.09
       11.37        1.17
        9.05        0.67
       10.08        0.91
        9.84        0.96
       11.15        1.07
         8.8        0.69
       10.85        1.01
        9.18         0.7
        9.13        0.77
        9.38        0.79
       11.19        1.01
       10.59        0.99
        8.05        0.64
        11.4        1.06
       11.07        1.09
       11.59         1.3
       10.59        0.94
       10.99        1.15
        9.85        0.84
        8.02        0.65
        8.62        0.67
       10.46        0.95
       10.06        0.89
        9.12        0.76
       10.32        1.01
        9.53        0.93
       11.59        1.23
       10.63        0.99
       10.43        0.98
        8.89        0.81
        9.47        0.82
        8.13        0.62
        8.81        0.69
        8.61        0.66
       11.81        1.43
        8.99        0.81
        11.4        1.16
        12.5        1.48
       11.11        1.11
        9.62        0.85
       10.24        0.84
        8.97        0.69
         9.8        0.85
        9.53        0.93
        9.48        0.79
        6.49         0.5
       10.03         0.9
        10.1        0.92
       11.46        1.28
        9.42        0.79
        9.51         0.8
          13        1.45
       11.02        1.09
        7.89        0.57
       10.63           1
        9.85        0.85
        8.59        0.78
        9.04        0.75
        8.91         0.7
       10.96        1.08
        11.1        1.11
         9.1        0.72
       10.94         1.1
        8.51        0.68
        9.04        0.72
       10.94        1.13
       10.65        0.99
       11.41        1.14
        8.62        0.68
       10.49        1.09
       11.67        1.17
        9.89        0.89
       11.38        1.11
        8.65        0.69
        9.96        0.91
       12.04        1.33
       11.47        1.35
       10.32        0.92
       10.53        0.97
       10.99        1.08
        9.74        0.83
        9.11        0.81
        9.59        0.98
        9.29        0.75
        8.77        0.78
        9.89        0.78
        8.27        0.75
        8.37        0.54
       10.89        0.99
          11        1.01
        9.39        0.82
       10.93        1.01
        8.38        0.66
        9.26        0.81
       11.92         1.2
